TinhTrangBDS,PhongNgu,PhongTam,Loai,GiayTo,TinhTrangNoiThat,HuongCuaChinh,HuongBanCong,CanGoc,DienTich_m2,Gia,Quan,Gia_m2,TongPhong,DienTich_per_Phong,TyLe_Ngu_Tam,Log_Gia
 Chưa bàn giao,1.0,1.0,Loại Chung Cư, Giấy tờ khác,Thô,Khác,Khác,KXĐ,49.0,1.89,Thành phố Thủ Đức,0.03857142857142857,2.0,24.5,0.5,1.0612565021243408
 Đã bàn giao,1.0,1.0,Loại Chung Cư, Giấy tờ khác,Thô, Đông Nam, Tây Bắc,KXĐ,53.0,2.35,Quận Tân Phú,0.04433962264150944,2.0,26.5,0.5,1.208960345836975
 Đã bàn giao,1.0,1.0,Loại Chung Cư, Giấy tờ khác,Thô,Khác,Khác,KXĐ,59.0,1.65,Thành phố Thủ Đức,0.027966101694915254,2.0,29.5,0.5,0.9745596399981308
 Chưa bàn giao,2.0,1.0,Loại Chung Cư, Giấy tờ khác,Thô,Khác,Khác,KXĐ,56.0,2.1,Quận Bình Tân,0.0375,3.0,18.666666666666668,1.0,1.1314021114911006
 Đã bàn giao,2.0,1.0,Loại Chung Cư, Đã có sổ,Đầy đủ, Nam, Tây,KXĐ,56.0,2.69,Khác,0.048035714285714286,3.0,18.666666666666668,1.0,1.3056264580524357
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Đang chờ sổ,Cơ bản, Đông Bắc, Tây Nam,KXĐ,60.45,1.69,Thành phố Thủ Đức,0.027956989247311825,4.0,20.150000000000002,0.6666666666666666,0.9895411936137477
 Đã bàn giao,3.0,2.0,Loại Chung Cư, Đang chờ sổ,Cao cấp, Nam, Đông Bắc,KXĐ,83.6,3.8,Quận Tân Phú,0.045454545454545456,5.0,20.9,1.0,1.5686159179138452
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Đang chờ sổ,Cao cấp, Đông Bắc, Tây Nam,KXĐ,73.6,3.85,Quận Tân Phú,0.052309782608695655,4.0,24.53333333333333,0.6666666666666666,1.5789787049493917
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Giấy tờ khác,Thô,Khác,Khác,KXĐ,71.42,2.99,Huyện Nhà Bè,0.041865023802856345,4.0,23.80666666666667,0.6666666666666666,1.3837912309017721
 Chưa bàn giao,1.0,1.0,Loại Chung Cư, Giấy tờ khác,Thô,Khác,Khác,KXĐ,46.0,2.368,Thành phố Thủ Đức,0.051478260869565216,2.0,23.0,0.5,1.2143190963800803
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Đang chờ sổ,Thô,Khác,Khác,KXĐ,79.0,1.8,Khác,0.02278481012658228,4.0,26.333333333333332,0.6666666666666666,1.0296194171811581
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Đang chờ sổ,Cơ bản,Khác,Khác,KXĐ,72.0,3.25,Khác,0.04513888888888889,4.0,24.0,0.6666666666666666,1.4469189829363254
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Đang chờ sổ,Cao cấp, Tây, Đông,KXĐ,80.0,4.5,Quận Bình Thạnh,0.05625,4.0,26.666666666666668,0.6666666666666666,1.7047480922384253
 Đã bàn giao,1.0,1.0,Loại Chung Cư, Giấy tờ khác,Thô,Khác,Khác,KXĐ,38.0,1.7,Quận Bình Thạnh,0.04473684210526316,2.0,19.0,0.5,0.9932517730102833
 Chưa bàn giao,2.0,2.0,Loại Chung Cư, Đang chờ sổ,Cao cấp, Đông, Tây,Phải,46.0,0.442,Huyện Nhà Bè,0.009608695652173913,4.0,15.333333333333334,0.6666666666666666,0.36603103886275734
 Đã bàn giao,1.0,1.0,Loại Chung Cư, Đang chờ sổ,Thô,Khác,Khác,KXĐ,48.5,2.15,Thành phố Thủ Đức,0.04432989690721649,2.0,24.25,0.5,1.1474024528375417
