TinhTrangBDS,PhongNgu,PhongTam,TinhTrangNoiThat,HuongCuaChinh,HuongBanCong,DienTich_m2,Gia,TongPhong,DienTich_per_Phong,TyLe_Ngu_Tam,Quan_Huyện Củ Chi,Quan_Huyện Hóc Môn,Quan_Huyện Nhà Bè,Quan_Khác,Quan_Quận Bình Thạnh,Quan_Quận Bình Tân,Quan_Quận Gò Vấp,Quan_Quận Phú Nhuận,Quan_Quận Tân Bình,Quan_Quận Tân Phú,Quan_Thành phố Thủ Đức,Loai_Loại Hạng Sang,Loai_Loại Tập Thể,Loai_Loại Văn Phòng,GiayTo_Đang chờ sổ,GiayTo_Đã có sổ,CanGoc_Phải
1,2.0,2.0,1,1,1,106.0,1.589235205116581,4.0,35.333333333333336,0.6666666666666666,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True
0,1.0,1.0,3,1,1,40.0,0.5877866649021191,2.0,20.0,0.5,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
1,3.0,3.0,3,1,1,99.0,1.3862943611198906,6.0,24.75,0.75,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False
1,2.0,2.0,3,7,4,88.0,1.2231870232497404,4.0,29.333333333333332,0.6666666666666666,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
1,2.0,2.0,3,1,1,69.0,1.5851452198650557,4.0,23.0,0.6666666666666666,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
1,2.0,1.0,2,8,4,59.0,1.1786549963416462,3.0,19.666666666666668,1.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1,2.0,2.0,3,1,1,80.0,0.9745596399981308,4.0,26.666666666666668,0.6666666666666666,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
1,2.0,2.0,3,1,8,58.0,0.832909122935104,4.0,19.333333333333332,0.6666666666666666,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True
1,2.0,2.0,1,2,0,64.0,1.000631880307906,4.0,21.333333333333332,0.6666666666666666,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True
1,2.0,1.0,2,1,1,53.0,0.9162907318741551,3.0,17.666666666666668,1.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
1,2.0,2.0,1,8,6,62.0,1.0296194171811581,4.0,20.666666666666668,0.6666666666666666,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
1,3.0,2.0,2,1,1,73.0,1.0818051703517284,5.0,18.25,1.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
1,2.0,2.0,2,1,1,91.0,0.832909122935104,4.0,30.333333333333332,0.6666666666666666,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1,1.0,1.0,2,1,1,52.0,1.1151415906193203,2.0,26.0,0.5,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
0,2.0,2.0,0,8,4,62.0,1.0647107369924282,4.0,20.666666666666668,0.6666666666666666,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True
0,2.0,1.0,2,1,1,56.0,1.1249295969854831,3.0,18.666666666666668,1.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1,3.0,2.0,3,1,1,100.0,0.006776984279023751,5.0,25.0,1.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
1,2.0,2.0,2,1,1,71.42,1.4861396960896067,4.0,23.80666666666667,0.6666666666666666,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,2.0,1.0,2,1,1,52.0,1.3737155789130306,3.0,17.333333333333332,1.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
1,2.0,2.0,2,0,1,75.0,1.252762968495368,4.0,25.0,0.6666666666666666,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1,2.0,2.0,0,7,5,70.0,1.220829921392359,4.0,23.333333333333332,0.6666666666666666,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True
1,2.0,2.0,2,1,1,71.0,1.1631508098056809,4.0,23.666666666666668,0.6666666666666666,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
1,2.0,2.0,2,1,1,62.0,1.0986122886681098,4.0,20.666666666666668,0.6666666666666666,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
0,2.0,2.0,0,8,1,65.0,1.0296194171811581,4.0,21.666666666666668,0.6666666666666666,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True
1,2.0,2.0,3,1,1,51.0,1.0224509277025458,4.0,17.0,0.6666666666666666,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
0,2.0,1.0,2,1,1,59.0,0.5423242908253617,3.0,19.666666666666668,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,2.0,2.0,0,8,4,69.0,0.48858001481867097,4.0,23.0,0.6666666666666666,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True
0,2.0,2.0,0,1,1,56.0,0.9858167945227653,4.0,18.666666666666668,0.6666666666666666,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
1,2.0,2.0,2,0,2,69.0,0.9555114450274363,4.0,23.0,0.6666666666666666,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
1,1.0,1.0,0,8,4,70.0,1.6094379124341003,2.0,35.0,0.5,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
1,2.0,2.0,0,2,0,70.12,1.3480731482996928,4.0,23.373333333333335,0.6666666666666666,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
1,2.0,2.0,1,1,1,63.0,0.9555114450274363,4.0,21.0,0.6666666666666666,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
1,2.0,1.0,2,1,6,65.0,1.0296194171811581,3.0,21.666666666666668,1.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
0,2.0,2.0,2,8,8,75.0,1.275362800412609,4.0,25.0,0.6666666666666666,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
0,1.0,1.0,0,1,1,54.0,0.06765864847381481,2.0,27.0,0.5,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1,1.0,1.0,0,1,1,60.0,1.3609765531356006,2.0,30.0,0.5,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
1,3.0,2.0,2,1,1,106.0,1.572773928062509,5.0,26.5,1.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1,2.0,2.0,0,1,1,88.0,1.9315214116032138,4.0,29.333333333333332,0.6666666666666666,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
0,2.0,1.0,2,1,1,46.0,0.0344014267173324,3.0,15.333333333333334,1.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True
1,2.0,2.0,2,1,1,67.0,0.9439058989071284,4.0,22.333333333333332,0.6666666666666666,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
0,2.0,2.0,1,8,4,68.0,0.3611648492115844,4.0,22.666666666666668,0.6666666666666666,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True
0,3.0,2.0,1,8,4,101.0,1.840549633397487,5.0,25.25,1.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
0,2.0,2.0,1,1,1,48.0,0.9858167945227653,4.0,16.0,0.6666666666666666,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
1,4.0,3.0,2,7,7,81.0,0.019802627296179712,7.0,16.2,1.0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
1,2.0,2.0,3,2,0,68.0,1.430311246536665,4.0,22.666666666666668,0.6666666666666666,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
1,3.0,2.0,2,1,1,81.0,1.3217558399823195,5.0,20.25,1.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
0,2.0,2.0,0,4,8,65.0,1.1631508098056809,4.0,21.666666666666668,0.6666666666666666,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
0,1.0,2.0,2,1,1,80.0,0.21913552991667093,3.0,40.0,0.3333333333333333,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
1,3.0,2.0,1,3,1,66.0,1.0647107369924282,5.0,16.5,1.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
